#  Symb ;    Unic ;  #Freq ;                                   Description	  ; Symb ; arabic_algerian_pseudo_maghribi	; Symb ; arabic_amriki_typeface	; Symb ; arabic_bulaq_ii_typeface	; Symb ; arabic_bulaq_i_typeface	; Symb ; arabic_decotype_typeface	; Symb ; arabic_lotus_linotype	; Symb ; arabic_simplified_typeface	; Symb ; arabic_traditional_typeface	; Symb ; backwards_ya_typeface	; Symb ; eurarabic_i	; Symb ; ottoman_naskh_ii_typeface	; Symb ; ottoman_naskh_i_typeface	; Symb ; ottoman_turkish_naskh_i	; Symb ; ottoman_turkish_naskh_ii	; Symb ; persian_amriki	; Symb ; persian_incunabula	; Symb ; persian_intertype	; Symb ; persian_lotus_linotype_typeface	; Symb ; persian_monotype	; Symb ; persian_watts_typeface	; Symb ; russian_persian_typeface	; Symb ; urdu_naskh_typeface	; Symb ; urdu_nastaliq_typeface
    ﺯ   ;  \ufeaf ;   7094 ;              ARABIC LETTER ZAIN ISOLATED FORM	  ;  ﺯ   ;     25	                         ;  ﺯ   ;     88	                ;  ﺯ   ;    152	                  ;  ﺯ   ;    251	                 ;  ﺯ   ;     64	                  ;  ﺯ   ;    137	               ;  ﺯ   ;     59	                    ;  ﺯ   ;     52	                     ;  ﺯ   ;     34	               ;  ﺯ   ;     58	     ;  ﺯ   ;     63	                   ;  ﺯ   ;     77	                  ;  ﺯ   ;    375	                 ;  ﺯ   ;     59	                  ;  ﺯ   ;     36	        ;  ﺯ   ;    115	            ;  ﺯ   ;    443	           ;  ﺯ   ;   2357	                         ;  ﺯ   ;    554	          ;  ﺯ   ;   1024	                ;  ﺯ   ;    381	                  ;  ﺯ   ;    189	             ;  ﺯ   ;    501
    ﺸ   ;  \ufeb8 ;   5056 ;               ARABIC LETTER SHEEN MEDIAL FORM	  ;  ﺸ   ;     42	                         ;  ﺸ   ;     99	                ;  ﺸ   ;     79	                  ;  ﺸ   ;    568	                 ;  ﺸ   ;    183	                  ;  ﺸ   ;    136	               ;  ﺸ   ;    154	                    ;  ﺸ   ;    200	                     ;  ﺸ   ;    208	               ;  ﺸ   ;     53	     ;  ﺸ   ;    210	                   ;  ﺸ   ;    254	                  ;  ﺸ   ;    251	                 ;  ﺸ   ;     28	                  ;  ﺸ   ;     31	        ;  ﺸ   ;     38	            ;  ﺸ   ;    198	           ;  ﺸ   ;   1197	                         ;  ﺸ   ;    217	          ;  ﺸ   ;    479	                ;  ﺸ   ;    126	                  ;  ﺸ   ;     77	             ;  ﺸ   ;    228
    ﮔ   ;  \ufb94 ;   3256 ;                ARABIC LETTER GAF INITIAL FORM	  ;  ﮔ   ;      0	                         ;  ﮔ   ;      0	                ;  ﮔ   ;      0	                  ;  ﮔ   ;      0	                 ;  ﮔ   ;      0	                  ;  ﮔ   ;      0	               ;  ﮔ   ;      0	                    ;  ﮔ   ;      0	                     ;  ﮔ   ;      0	               ;  ﮔ   ;      0	     ;  ﮔ   ;      2	                   ;  ﮔ   ;      0	                  ;  ﮔ   ;    103	                 ;  ﮔ   ;     67	                  ;  ﮔ   ;     28	        ;  ﮔ   ;      0	            ;  ﮔ   ;    210	           ;  ﮔ   ;   1021	                         ;  ﮔ   ;      1	          ;  ﮔ   ;    374	                ;  ﮔ   ;    240	                  ;  ﮔ   ;    318	             ;  ﮔ   ;    892
    ،   ;  \u060c ;   4783 ;                                  ARABIC COMMA	  ;  ،   ;      0	                         ;  ،   ;      1	                ;  ،   ;      0	                  ;  ،   ;      1	                 ;  ،   ;     32	                  ;  ،   ;    199	               ;  ،   ;    546	                    ;  ،   ;    672	                     ;  ،   ;    469	               ;  ،   ;    116	     ;  ،   ;      1	                   ;  ،   ;      1	                  ;  ،   ;     12	                 ;  ،   ;     47	                  ;  ،   ;      0	        ;  ،   ;      0	            ;  ،   ;    416	           ;  ،   ;   1192	                         ;  ،   ;    280	          ;  ،   ;     16	                ;  ،   ;      0	                  ;  ،   ;    385	             ;  ،   ;    397
    ﺤ   ;  \ufea4 ;   6092 ;                 ARABIC LETTER HAH MEDIAL FORM	  ;  ﺤ   ;     79	                         ;  ﺤ   ;    365	                ;  ﺤ   ;    345	                  ;  ﺤ   ;   1000	                 ;  ﺤ   ;    321	                  ;  ﺤ   ;    218	               ;  ﺤ   ;    262	                    ;  ﺤ   ;    371	                     ;  ﺤ   ;    193	               ;  ﺤ   ;    192	     ;  ﺤ   ;    344	                   ;  ﺤ   ;    515	                  ;  ﺤ   ;    201	                 ;  ﺤ   ;     58	                  ;  ﺤ   ;      7	        ;  ﺤ   ;     26	            ;  ﺤ   ;    180	           ;  ﺤ   ;    679	                         ;  ﺤ   ;    118	          ;  ﺤ   ;    287	                ;  ﺤ   ;     10	                  ;  ﺤ   ;     53	             ;  ﺤ   ;    268
    ﻂ   ;  \ufec2 ;    346 ;                  ARABIC LETTER TAH FINAL FORM	  ;  ﻂ   ;      3	                         ;  ﻂ   ;     22	                ;  ﻂ   ;     22	                  ;  ﻂ   ;     50	                 ;  ﻂ   ;     24	                  ;  ﻂ   ;     10	               ;  ﻂ   ;     43	                    ;  ﻂ   ;     10	                     ;  ﻂ   ;      9	               ;  ﻂ   ;     16	     ;  ﻂ   ;     12	                   ;  ﻂ   ;     15	                  ;  ﻂ   ;      9	                 ;  ﻂ   ;      2	                  ;  ﻂ   ;      0	        ;  ﻂ   ;      0	            ;  ﻂ   ;     20	           ;  ﻂ   ;     42	                         ;  ﻂ   ;      3	          ;  ﻂ   ;     13	                ;  ﻂ   ;      0	                  ;  ﻂ   ;      9	             ;  ﻂ   ;     12
    ﻝ   ;  \ufedd ;   5582 ;               ARABIC LETTER LAM ISOLATED FORM	  ;  ﻝ   ;     27	                         ;  ﻝ   ;    235	                ;  ﻝ   ;    346	                  ;  ﻝ   ;   1030	                 ;  ﻝ   ;    309	                  ;  ﻝ   ;    235	               ;  ﻝ   ;    212	                    ;  ﻝ   ;    196	                     ;  ﻝ   ;    107	               ;  ﻝ   ;     91	     ;  ﻝ   ;    380	                   ;  ﻝ   ;    393	                  ;  ﻝ   ;    227	                 ;  ﻝ   ;     41	                  ;  ﻝ   ;     10	        ;  ﻝ   ;     29	            ;  ﻝ   ;    166	           ;  ﻝ   ;    702	                         ;  ﻝ   ;     68	          ;  ﻝ   ;    286	                ;  ﻝ   ;     53	                  ;  ﻝ   ;     69	             ;  ﻝ   ;    370
    .   ;       . ;   5826 ;                                     FULL STOP	  ;  .   ;      0	                         ;  .   ;     69	                ;  .   ;    268	                  ;  .   ;      3	                 ;  .   ;      9	                  ;  .   ;     60	               ;  .   ;    269	                    ;  .   ;    218	                     ;  .   ;    280	               ;  .   ;      0	     ;  .   ;      1	                   ;  .   ;      1	                  ;  .   ;      3	                 ;  .   ;    138	                  ;  .   ;      0	        ;  .   ;      0	            ;  .   ;    333	           ;  .   ;   1631	                         ;  .   ;     31	          ;  .   ;     17	                ;  .   ;      0	                  ;  .   ;    342	             ;  .   ;   2153
    ﻯ   ;  \ufeef ;   1275 ;      ARABIC LETTER ALEF MAKSURA ISOLATED FORM	  ;  ﻯ   ;     30	                         ;  ﻯ   ;     22	                ;  ﻯ   ;    107	                  ;  ﻯ   ;    247	                 ;  ﻯ   ;     25	                  ;  ﻯ   ;     88	               ;  ﻯ   ;     44	                    ;  ﻯ   ;     30	                     ;  ﻯ   ;     54	               ;  ﻯ   ;     86	     ;  ﻯ   ;    135	                   ;  ﻯ   ;    175	                  ;  ﻯ   ;     38	                 ;  ﻯ   ;     30	                  ;  ﻯ   ;      0	        ;  ﻯ   ;      0	            ;  ﻯ   ;     22	           ;  ﻯ   ;     45	                         ;  ﻯ   ;     70	          ;  ﻯ   ;     25	                ;  ﻯ   ;      0	                  ;  ﻯ   ;      0	             ;  ﻯ   ;      2
    ﺚ   ;  \ufe9a ;    528 ;                 ARABIC LETTER THEH FINAL FORM	  ;  ﺚ   ;      5	                         ;  ﺚ   ;     30	                ;  ﺚ   ;     24	                  ;  ﺚ   ;     96	                 ;  ﺚ   ;     13	                  ;  ﺚ   ;     34	               ;  ﺚ   ;     17	                    ;  ﺚ   ;     30	                     ;  ﺚ   ;     18	               ;  ﺚ   ;      6	     ;  ﺚ   ;     42	                   ;  ﺚ   ;     83	                  ;  ﺚ   ;     12	                 ;  ﺚ   ;      4	                  ;  ﺚ   ;      0	        ;  ﺚ   ;     26	            ;  ﺚ   ;      5	           ;  ﺚ   ;     44	                         ;  ﺚ   ;     20	          ;  ﺚ   ;      7	                ;  ﺚ   ;      0	                  ;  ﺚ   ;      0	             ;  ﺚ   ;     12
    ﺫ   ;  \ufeab ;   3099 ;              ARABIC LETTER THAL ISOLATED FORM	  ;  ﺫ   ;     45	                         ;  ﺫ   ;    183	                ;  ﺫ   ;    322	                  ;  ﺫ   ;    570	                 ;  ﺫ   ;    121	                  ;  ﺫ   ;    155	               ;  ﺫ   ;    103	                    ;  ﺫ   ;    159	                     ;  ﺫ   ;     54	               ;  ﺫ   ;     82	     ;  ﺫ   ;    188	                   ;  ﺫ   ;    192	                  ;  ﺫ   ;     45	                 ;  ﺫ   ;     19	                  ;  ﺫ   ;      3	        ;  ﺫ   ;      2	            ;  ﺫ   ;     30	           ;  ﺫ   ;    178	                         ;  ﺫ   ;    463	          ;  ﺫ   ;     34	                ;  ﺫ   ;      3	                  ;  ﺫ   ;     17	             ;  ﺫ   ;    131
    ﺰ   ;  \ufeb0 ;   4112 ;                 ARABIC LETTER ZAIN FINAL FORM	  ;  ﺰ   ;     25	                         ;  ﺰ   ;     94	                ;  ﺰ   ;    277	                  ;  ﺰ   ;    420	                 ;  ﺰ   ;     84	                  ;  ﺰ   ;    131	               ;  ﺰ   ;    149	                    ;  ﺰ   ;    108	                     ;  ﺰ   ;     52	               ;  ﺰ   ;     77	     ;  ﺰ   ;    131	                   ;  ﺰ   ;    116	                  ;  ﺰ   ;    275	                 ;  ﺰ   ;     48	                  ;  ﺰ   ;     14	        ;  ﺰ   ;     42	            ;  ﺰ   ;    137	           ;  ﺰ   ;    753	                         ;  ﺰ   ;    283	          ;  ﺰ   ;    393	                ;  ﺰ   ;    111	                  ;  ﺰ   ;     76	             ;  ﺰ   ;    316
    ﺝ   ;  \ufe9d ;    750 ;              ARABIC LETTER JEEM ISOLATED FORM	  ;  ﺝ   ;     22	                         ;  ﺝ   ;     14	                ;  ﺝ   ;     96	                  ;  ﺝ   ;     68	                 ;  ﺝ   ;     15	                  ;  ﺝ   ;     36	               ;  ﺝ   ;     30	                    ;  ﺝ   ;     36	                     ;  ﺝ   ;     55	               ;  ﺝ   ;     14	     ;  ﺝ   ;     27	                   ;  ﺝ   ;     36	                  ;  ﺝ   ;     21	                 ;  ﺝ   ;      3	                  ;  ﺝ   ;      0	        ;  ﺝ   ;      4	            ;  ﺝ   ;     25	           ;  ﺝ   ;     93	                         ;  ﺝ   ;      5	          ;  ﺝ   ;     47	                ;  ﺝ   ;     13	                  ;  ﺝ   ;     11	             ;  ﺝ   ;     79
    ﺨ   ;  \ufea8 ;   2846 ;                ARABIC LETTER KHAH MEDIAL FORM	  ;  ﺨ   ;     35	                         ;  ﺨ   ;     75	                ;  ﺨ   ;    126	                  ;  ﺨ   ;    437	                 ;  ﺨ   ;    128	                  ;  ﺨ   ;    136	               ;  ﺨ   ;    110	                    ;  ﺨ   ;    117	                     ;  ﺨ   ;    100	               ;  ﺨ   ;     74	     ;  ﺨ   ;    158	                   ;  ﺨ   ;    159	                  ;  ﺨ   ;     82	                 ;  ﺨ   ;     17	                  ;  ﺨ   ;     11	        ;  ﺨ   ;     53	            ;  ﺨ   ;     96	           ;  ﺨ   ;    465	                         ;  ﺨ   ;     70	          ;  ﺨ   ;    173	                ;  ﺨ   ;     57	                  ;  ﺨ   ;     31	             ;  ﺨ   ;    136
    ﺓ   ;  \ufe93 ;   2827 ;       ARABIC LETTER TEH MARBUTA ISOLATED FORM	  ;  ﺓ   ;     28	                         ;  ﺓ   ;    124	                ;  ﺓ   ;    411	                  ;  ﺓ   ;    566	                 ;  ﺓ   ;    105	                  ;  ﺓ   ;    142	               ;  ﺓ   ;    174	                    ;  ﺓ   ;    195	                     ;  ﺓ   ;    128	               ;  ﺓ   ;    192	     ;  ﺓ   ;    238	                   ;  ﺓ   ;    415	                  ;  ﺓ   ;      8	                 ;  ﺓ   ;      3	                  ;  ﺓ   ;      1	        ;  ﺓ   ;      0	            ;  ﺓ   ;     17	           ;  ﺓ   ;     52	                         ;  ﺓ   ;     13	          ;  ﺓ   ;     10	                ;  ﺓ   ;      0	                  ;  ﺓ   ;      0	             ;  ﺓ   ;      5
    ﻰ   ;  \ufef0 ;   6918 ;         ARABIC LETTER ALEF MAKSURA FINAL FORM	  ;  ﻰ   ;    114	                         ;  ﻰ   ;    294	                ;  ﻰ   ;    777	                  ;  ﻰ   ;   1416	                 ;  ﻰ   ;    287	                  ;  ﻰ   ;    567	               ;  ﻰ   ;    221	                    ;  ﻰ   ;    302	                     ;  ﻰ   ;    223	               ;  ﻰ   ;    376	     ;  ﻰ   ;    623	                   ;  ﻰ   ;   1143	                  ;  ﻰ   ;    133	                 ;  ﻰ   ;     50	                  ;  ﻰ   ;      2	        ;  ﻰ   ;      0	            ;  ﻰ   ;     84	           ;  ﻰ   ;    171	                         ;  ﻰ   ;     66	          ;  ﻰ   ;     39	                ;  ﻰ   ;      0	                  ;  ﻰ   ;      3	             ;  ﻰ   ;     27
    ﻌ   ;  \ufecc ;  10263 ;                 ARABIC LETTER AIN MEDIAL FORM	  ;  ﻌ   ;    125	                         ;  ﻌ   ;    550	                ;  ﻌ   ;    491	                  ;  ﻌ   ;   1904	                 ;  ﻌ   ;    405	                  ;  ﻌ   ;    466	               ;  ﻌ   ;    382	                    ;  ﻌ   ;    454	                     ;  ﻌ   ;    346	               ;  ﻌ   ;    359	     ;  ﻌ   ;    812	                   ;  ﻌ   ;    896	                  ;  ﻌ   ;    276	                 ;  ﻌ   ;     55	                  ;  ﻌ   ;      9	        ;  ﻌ   ;     49	            ;  ﻌ   ;    312	           ;  ﻌ   ;   1118	                         ;  ﻌ   ;    300	          ;  ﻌ   ;    413	                ;  ﻌ   ;      6	                  ;  ﻌ   ;     83	             ;  ﻌ   ;    452
    ﺶ   ;  \ufeb6 ;    838 ;                ARABIC LETTER SHEEN FINAL FORM	  ;  ﺶ   ;      2	                         ;  ﺶ   ;      1	                ;  ﺶ   ;      0	                  ;  ﺶ   ;     15	                 ;  ﺶ   ;      8	                  ;  ﺶ   ;      0	               ;  ﺶ   ;     24	                    ;  ﺶ   ;      5	                     ;  ﺶ   ;      4	               ;  ﺶ   ;      3	     ;  ﺶ   ;     10	                   ;  ﺶ   ;      0	                  ;  ﺶ   ;    125	                 ;  ﺶ   ;      3	                  ;  ﺶ   ;      4	        ;  ﺶ   ;     18	            ;  ﺶ   ;     54	           ;  ﺶ   ;    263	                         ;  ﺶ   ;     47	          ;  ﺶ   ;     92	                ;  ﺶ   ;     70	                  ;  ﺶ   ;     11	             ;  ﺶ   ;     79
    ﮞ   ;  \ufb9e ;   1407 ;       ARABIC LETTER NOON GHUNNA ISOLATED FORM	  ;  ﮞ   ;      0	                         ;  ﮞ   ;      0	                ;  ﮞ   ;      0	                  ;  ﮞ   ;      0	                 ;  ﮞ   ;      0	                  ;  ﮞ   ;      0	               ;  ﮞ   ;      0	                    ;  ﮞ   ;      1	                     ;  ﮞ   ;      0	               ;  ﮞ   ;      0	     ;  ﮞ   ;      0	                   ;  ﮞ   ;      0	                  ;  ﮞ   ;      0	                 ;  ﮞ   ;      0	                  ;  ﮞ   ;      0	        ;  ﮞ   ;      0	            ;  ﮞ   ;      0	           ;  ﮞ   ;      0	                         ;  ﮞ   ;      0	          ;  ﮞ   ;      0	                ;  ﮞ   ;      0	                  ;  ﮞ   ;    291	             ;  ﮞ   ;   1115
    ﮏ   ;  \ufb8f ;   1108 ;                ARABIC LETTER KEHEH FINAL FORM	  ;  ﮏ   ;      0	                         ;  ﮏ   ;      1	                ;  ﮏ   ;      1	                  ;  ﮏ   ;      3	                 ;  ﮏ   ;      0	                  ;  ﮏ   ;      1	               ;  ﮏ   ;      0	                    ;  ﮏ   ;      0	                     ;  ﮏ   ;      0	               ;  ﮏ   ;      0	     ;  ﮏ   ;      8	                   ;  ﮏ   ;      3	                  ;  ﮏ   ;      5	                 ;  ﮏ   ;      0	                  ;  ﮏ   ;      0	        ;  ﮏ   ;      0	            ;  ﮏ   ;     62	           ;  ﮏ   ;    239	                         ;  ﮏ   ;     72	          ;  ﮏ   ;     77	                ;  ﮏ   ;     41	                  ;  ﮏ   ;    168	             ;  ﮏ   ;    427
    ﭘ   ;  \ufb58 ;   3384 ;                ARABIC LETTER PEH INITIAL FORM	  ;  ﭘ   ;      0	                         ;  ﭘ   ;      0	                ;  ﭘ   ;      0	                  ;  ﭘ   ;      0	                 ;  ﭘ   ;      0	                  ;  ﭘ   ;      1	               ;  ﭘ   ;      0	                    ;  ﭘ   ;      0	                     ;  ﭘ   ;      0	               ;  ﭘ   ;      0	     ;  ﭘ   ;      8	                   ;  ﭘ   ;      0	                  ;  ﭘ   ;    213	                 ;  ﭘ   ;     10	                  ;  ﭘ   ;      7	        ;  ﭘ   ;     28	            ;  ﭘ   ;     93	           ;  ﭘ   ;    712	                         ;  ﭘ   ;      4	          ;  ﭘ   ;    275	                ;  ﭘ   ;    176	                  ;  ﭘ   ;    443	             ;  ﭘ   ;   1414
    ﭙ   ;  \ufb59 ;    382 ;                 ARABIC LETTER PEH MEDIAL FORM	  ;  ﭙ   ;      0	                         ;  ﭙ   ;      0	                ;  ﭙ   ;      0	                  ;  ﭙ   ;      1	                 ;  ﭙ   ;      0	                  ;  ﭙ   ;      0	               ;  ﭙ   ;      0	                    ;  ﭙ   ;      0	                     ;  ﭙ   ;      0	               ;  ﭙ   ;      0	     ;  ﭙ   ;      0	                   ;  ﭙ   ;      0	                  ;  ﭙ   ;     50	                 ;  ﭙ   ;      2	                  ;  ﭙ   ;      2	        ;  ﭙ   ;      3	            ;  ﭙ   ;      6	           ;  ﭙ   ;     72	                         ;  ﭙ   ;      0	          ;  ﭙ   ;     48	                ;  ﭙ   ;     63	                  ;  ﭙ   ;     32	             ;  ﭙ   ;    103
    ﭨ   ;  \ufb68 ;    321 ;               ARABIC LETTER TTEH INITIAL FORM	  ;  ﭨ   ;      0	                         ;  ﭨ   ;      0	                ;  ﭨ   ;      0	                  ;  ﭨ   ;      0	                 ;  ﭨ   ;      0	                  ;  ﭨ   ;      0	               ;  ﭨ   ;      0	                    ;  ﭨ   ;      0	                     ;  ﭨ   ;      0	               ;  ﭨ   ;      0	     ;  ﭨ   ;      0	                   ;  ﭨ   ;      0	                  ;  ﭨ   ;      0	                 ;  ﭨ   ;      0	                  ;  ﭨ   ;      0	        ;  ﭨ   ;      0	            ;  ﭨ   ;      0	           ;  ﭨ   ;      0	                         ;  ﭨ   ;      0	          ;  ﭨ   ;      0	                ;  ﭨ   ;      0	                  ;  ﭨ   ;     83	             ;  ﭨ   ;    238
    ﯼ   ;  \ufbfc ;   4412 ;         ARABIC LETTER FARSI YEH ISOLATED FORM	  ;  ﯼ   ;     18	                         ;  ﯼ   ;     16	                ;  ﯼ   ;     24	                  ;  ﯼ   ;    303	                 ;  ﯼ   ;      3	                  ;  ﯼ   ;     30	               ;  ﯼ   ;      6	                    ;  ﯼ   ;      0	                     ;  ﯼ   ;     16	               ;  ﯼ   ;      0	     ;  ﯼ   ;     63	                   ;  ﯼ   ;     83	                  ;  ﯼ   ;    519	                 ;  ﯼ   ;     35	                  ;  ﯼ   ;     18	        ;  ﯼ   ;     58	            ;  ﯼ   ;    302	           ;  ﯼ   ;   1387	                         ;  ﯼ   ;    306	          ;  ﯼ   ;    293	                ;  ﯼ   ;    152	                  ;  ﯼ   ;    132	             ;  ﯼ   ;    648
    ﮑ   ;  \ufb91 ;   3716 ;               ARABIC LETTER KEHEH MEDIAL FORM	  ;  ﮑ   ;      6	                         ;  ﮑ   ;     45	                ;  ﮑ   ;     10	                  ;  ﮑ   ;    353	                 ;  ﮑ   ;     13	                  ;  ﮑ   ;     36	               ;  ﮑ   ;      0	                    ;  ﮑ   ;      1	                     ;  ﮑ   ;     12	               ;  ﮑ   ;      0	     ;  ﮑ   ;     41	                   ;  ﮑ   ;     41	                  ;  ﮑ   ;    462	                 ;  ﮑ   ;     10	                  ;  ﮑ   ;     18	        ;  ﮑ   ;     91	            ;  ﮑ   ;    114	           ;  ﮑ   ;    784	                         ;  ﮑ   ;    225	          ;  ﮑ   ;    247	                ;  ﮑ   ;     96	                  ;  ﮑ   ;    209	             ;  ﮑ   ;    902
    ﻉ   ;  \ufec9 ;    952 ;               ARABIC LETTER AIN ISOLATED FORM	  ;  ﻉ   ;      6	                         ;  ﻉ   ;     58	                ;  ﻉ   ;     27	                  ;  ﻉ   ;    181	                 ;  ﻉ   ;     30	                  ;  ﻉ   ;     63	               ;  ﻉ   ;     31	                    ;  ﻉ   ;     57	                     ;  ﻉ   ;     17	               ;  ﻉ   ;     23	     ;  ﻉ   ;     46	                   ;  ﻉ   ;     62	                  ;  ﻉ   ;     24	                 ;  ﻉ   ;     10	                  ;  ﻉ   ;      4	        ;  ﻉ   ;      4	            ;  ﻉ   ;     31	           ;  ﻉ   ;    137	                         ;  ﻉ   ;     17	          ;  ﻉ   ;     68	                ;  ﻉ   ;      1	                  ;  ﻉ   ;     11	             ;  ﻉ   ;     44
    ﮍ   ;  \ufb8d ;    422 ;                 ARABIC LETTER RREH FINAL FORM	  ;  ﮍ   ;      0	                         ;  ﮍ   ;      0	                ;  ﮍ   ;      0	                  ;  ﮍ   ;      0	                 ;  ﮍ   ;      0	                  ;  ﮍ   ;      0	               ;  ﮍ   ;      0	                    ;  ﮍ   ;      0	                     ;  ﮍ   ;      0	               ;  ﮍ   ;      0	     ;  ﮍ   ;      0	                   ;  ﮍ   ;      0	                  ;  ﮍ   ;      0	                 ;  ﮍ   ;      0	                  ;  ﮍ   ;      0	        ;  ﮍ   ;      0	            ;  ﮍ   ;      0	           ;  ﮍ   ;      0	                         ;  ﮍ   ;      0	          ;  ﮍ   ;      0	                ;  ﮍ   ;      0	                  ;  ﮍ   ;    101	             ;  ﮍ   ;    321
    «   ;       « ;    453 ;     LEFT-POINTING DOUBLE ANGLE QUOTATION MARK	  ;  «   ;      0	                         ;  «   ;      0	                ;  «   ;      2	                  ;  «   ;      0	                 ;  «   ;      1	                  ;  «   ;    115	               ;  «   ;     36	                    ;  «   ;     31	                     ;  «   ;      0	               ;  «   ;      0	     ;  «   ;     14	                   ;  «   ;      0	                  ;  «   ;      1	                 ;  «   ;     33	                  ;  «   ;      0	        ;  «   ;      0	            ;  «   ;     68	           ;  «   ;    134	                         ;  «   ;     11	          ;  «   ;      6	                ;  «   ;      0	                  ;  «   ;      0	             ;  «   ;      1
    »   ;       » ;    407 ;    RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK	  ;  »   ;      0	                         ;  »   ;      0	                ;  »   ;      2	                  ;  »   ;      0	                 ;  »   ;      1	                  ;  »   ;    114	               ;  »   ;     30	                    ;  »   ;     32	                     ;  »   ;      0	               ;  »   ;      0	     ;  »   ;     15	                   ;  »   ;      1	                  ;  »   ;      1	                 ;  »   ;     22	                  ;  »   ;      0	        ;  »   ;      0	            ;  »   ;     68	           ;  »   ;    103	                         ;  »   ;     10	          ;  »   ;      8	                ;  »   ;      0	                  ;  »   ;      0	             ;  »   ;      0
    ﺖ   ;  \ufe96 ;   7653 ;                  ARABIC LETTER TEH FINAL FORM	  ;  ﺖ   ;     39	                         ;  ﺖ   ;    144	                ;  ﺖ   ;    225	                  ;  ﺖ   ;    536	                 ;  ﺖ   ;    188	                  ;  ﺖ   ;     76	               ;  ﺖ   ;    121	                    ;  ﺖ   ;     63	                     ;  ﺖ   ;     64	               ;  ﺖ   ;    108	     ;  ﺖ   ;    139	                   ;  ﺖ   ;    125	                  ;  ﺖ   ;    297	                 ;  ﺖ   ;     63	                  ;  ﺖ   ;     37	        ;  ﺖ   ;    219	            ;  ﺖ   ;    530	           ;  ﺖ   ;   2354	                         ;  ﺖ   ;    532	          ;  ﺖ   ;    842	                ;  ﺖ   ;    180	                  ;  ﺖ   ;    180	             ;  ﺖ   ;    591
    ﻊ   ;  \ufeca ;   2494 ;                  ARABIC LETTER AIN FINAL FORM	  ;  ﻊ   ;     33	                         ;  ﻊ   ;    157	                ;  ﻊ   ;    153	                  ;  ﻊ   ;    482	                 ;  ﻊ   ;     76	                  ;  ﻊ   ;     65	               ;  ﻊ   ;     91	                    ;  ﻊ   ;    138	                     ;  ﻊ   ;     53	               ;  ﻊ   ;    127	     ;  ﻊ   ;    133	                   ;  ﻊ   ;    167	                  ;  ﻊ   ;     47	                 ;  ﻊ   ;     17	                  ;  ﻊ   ;     15	        ;  ﻊ   ;     15	            ;  ﻊ   ;     82	           ;  ﻊ   ;    403	                         ;  ﻊ   ;     27	          ;  ﻊ   ;    133	                ;  ﻊ   ;      2	                  ;  ﻊ   ;     25	             ;  ﻊ   ;     53
    ـ   ;  \u0640 ;   2763 ;                                ARABIC TATWEEL	  ;  ـ   ;    219	                         ;  ـ   ;     44	                ;  ـ   ;    199	                  ;  ـ   ;    743	                 ;  ـ   ;     39	                  ;  ـ   ;    169	               ;  ـ   ;     66	                    ;  ـ   ;     32	                     ;  ـ   ;    142	               ;  ـ   ;      0	     ;  ـ   ;    115	                   ;  ـ   ;    173	                  ;  ـ   ;    355	                 ;  ـ   ;     87	                  ;  ـ   ;      8	        ;  ـ   ;      0	            ;  ـ   ;    157	           ;  ـ   ;     45	                         ;  ـ   ;     21	          ;  ـ   ;    145	                ;  ـ   ;      0	                  ;  ـ   ;      2	             ;  ـ   ;      2
    (   ;       ( ;   1830 ;                              LEFT PARENTHESIS	  ;  (   ;      2	                         ;  (   ;      5	                ;  (   ;     36	                  ;  (   ;    439	                 ;  (   ;     72	                  ;  (   ;      7	               ;  (   ;    123	                    ;  (   ;    134	                     ;  (   ;    187	               ;  (   ;    232	     ;  (   ;    135	                   ;  (   ;    172	                  ;  (   ;      0	                 ;  (   ;      6	                  ;  (   ;      0	        ;  (   ;      0	            ;  (   ;     36	           ;  (   ;     71	                         ;  (   ;     37	          ;  (   ;     74	                ;  (   ;      6	                  ;  (   ;     15	             ;  (   ;     41
    ٕ    ;  \u0655 ;   1241 ;                            ARABIC HAMZA BELOW	  ;  ٕ    ;      3	                         ;  ٕ    ;     25	                ;  ٕ    ;     39	                  ;  ٕ    ;      4	                 ;  ٕ    ;    265	                  ;  ٕ    ;      0	               ;  ٕ    ;    210	                    ;  ٕ    ;    353	                     ;  ٕ    ;    219	               ;  ٕ    ;    107	     ;  ٕ    ;      0	                   ;  ٕ    ;      0	                  ;  ٕ    ;      0	                 ;  ٕ    ;      0	                  ;  ٕ    ;      0	        ;  ٕ    ;      0	            ;  ٕ    ;      6	           ;  ٕ    ;      2	                         ;  ٕ    ;      0	          ;  ٕ    ;      7	                ;  ٕ    ;      0	                  ;  ٕ    ;      0	             ;  ٕ    ;      1
