#  Symb ;    Unic ;  #Freq ;                                   Description	  ; Symb ; arabic_algerian_pseudo_maghribi	; Symb ; arabic_amriki_typeface	; Symb ; arabic_bulaq_ii_typeface	; Symb ; arabic_bulaq_i_typeface	; Symb ; arabic_decotype_typeface	; Symb ; arabic_lotus_linotype	; Symb ; arabic_simplified_typeface	; Symb ; arabic_traditional_typeface	; Symb ; backwards_ya_typeface	; Symb ; eurarabic_i	; Symb ; ottoman_naskh_ii_typeface	; Symb ; ottoman_naskh_i_typeface	; Symb ; ottoman_turkish_naskh_i	; Symb ; ottoman_turkish_naskh_ii	; Symb ; persian_amriki	; Symb ; persian_incunabula	; Symb ; persian_intertype	; Symb ; persian_lotus_linotype_typeface	; Symb ; persian_monotype	; Symb ; persian_watts_typeface	; Symb ; russian_persian_typeface	; Symb ; urdu_naskh_typeface	; Symb ; urdu_nastaliq_typeface
    ﺍ   ;  \ufe8d ;  83950 ;              ARABIC LETTER ALEF ISOLATED FORM	  ;  ﺍ   ;    831	                         ;  ﺍ   ;   3221	                ;  ﺍ   ;   3939	                  ;  ﺍ   ;  12238	                 ;  ﺍ   ;   2914	                  ;  ﺍ   ;   3083	               ;  ﺍ   ;   2657	                    ;  ﺍ   ;   3273	                     ;  ﺍ   ;   2546	               ;  ﺍ   ;   2047	     ;  ﺍ   ;   4534	                   ;  ﺍ   ;   5623	                  ;  ﺍ   ;   3398	                 ;  ﺍ   ;    719	                  ;  ﺍ   ;    210	        ;  ﺍ   ;    561	            ;  ﺍ   ;   2860	           ;  ﺍ   ;  12563	                         ;  ﺍ   ;   2587	          ;  ﺍ   ;   5002	                ;  ﺍ   ;    888	                  ;  ﺍ   ;   1842	             ;  ﺍ   ;   6414
    ﻠ   ;  \ufee0 ;  18514 ;                 ARABIC LETTER LAM MEDIAL FORM	  ;  ﻠ   ;    202	                         ;  ﻠ   ;    772	                ;  ﻠ   ;    781	                  ;  ﻠ   ;   3030	                 ;  ﻠ   ;    828	                  ;  ﻠ   ;    643	               ;  ﻠ   ;    653	                    ;  ﻠ   ;    655	                     ;  ﻠ   ;    522	               ;  ﻠ   ;    456	     ;  ﻠ   ;   1155	                   ;  ﻠ   ;   1885	                  ;  ﻠ   ;   1455	                 ;  ﻠ   ;    330	                  ;  ﻠ   ;     26	        ;  ﻠ   ;     50	            ;  ﻠ   ;    387	           ;  ﻠ   ;   2059	                         ;  ﻠ   ;    585	          ;  ﻠ   ;    715	                ;  ﻠ   ;     43	                  ;  ﻠ   ;    225	             ;  ﻠ   ;   1057
    ﺗ   ;  \ufe97 ;  11599 ;                ARABIC LETTER TEH INITIAL FORM	  ;  ﺗ   ;     94	                         ;  ﺗ   ;    323	                ;  ﺗ   ;    457	                  ;  ﺗ   ;   1236	                 ;  ﺗ   ;    222	                  ;  ﺗ   ;    228	               ;  ﺗ   ;    268	                    ;  ﺗ   ;    302	                     ;  ﺗ   ;    215	               ;  ﺗ   ;    186	     ;  ﺗ   ;    471	                   ;  ﺗ   ;    470	                  ;  ﺗ   ;    635	                 ;  ﺗ   ;    109	                  ;  ﺗ   ;     38	        ;  ﺗ   ;     49	            ;  ﺗ   ;    378	           ;  ﺗ   ;   1619	                         ;  ﺗ   ;    278	          ;  ﺗ   ;    504	                ;  ﺗ   ;    136	                  ;  ﺗ   ;    592	             ;  ﺗ   ;   2789
    ﻮ   ;  \ufeee ;  29836 ;                  ARABIC LETTER WAW FINAL FORM	  ;  ﻮ   ;    180	                         ;  ﻮ   ;    964	                ;  ﻮ   ;    910	                  ;  ﻮ   ;   2925	                 ;  ﻮ   ;    782	                  ;  ﻮ   ;   1618	               ;  ﻮ   ;    638	                    ;  ﻮ   ;    727	                     ;  ﻮ   ;    366	               ;  ﻮ   ;    608	     ;  ﻮ   ;   1157	                   ;  ﻮ   ;   1321	                  ;  ﻮ   ;   1971	                 ;  ﻮ   ;    343	                  ;  ﻮ   ;     85	        ;  ﻮ   ;    310	            ;  ﻮ   ;    913	           ;  ﻮ   ;   4864	                         ;  ﻮ   ;    821	          ;  ﻮ   ;   1967	                ;  ﻮ   ;    449	                  ;  ﻮ   ;   1250	             ;  ﻮ   ;   4667
    ﺳ   ;  \ufeb3 ;  14067 ;               ARABIC LETTER SEEN INITIAL FORM	  ;  ﺳ   ;     73	                         ;  ﺳ   ;    316	                ;  ﺳ   ;    148	                  ;  ﺳ   ;   1013	                 ;  ﺳ   ;    251	                  ;  ﺳ   ;    112	               ;  ﺳ   ;    360	                    ;  ﺳ   ;    254	                     ;  ﺳ   ;    206	               ;  ﺳ   ;    190	     ;  ﺳ   ;    399	                   ;  ﺳ   ;    488	                  ;  ﺳ   ;    859	                 ;  ﺳ   ;    116	                  ;  ﺳ   ;     37	        ;  ﺳ   ;    166	            ;  ﺳ   ;    705	           ;  ﺳ   ;   3397	                         ;  ﺳ   ;    470	          ;  ﺳ   ;   1308	                ;  ﺳ   ;    321	                  ;  ﺳ   ;    672	             ;  ﺳ   ;   2206
    ﻦ   ;  \ufee6 ;  11751 ;                 ARABIC LETTER NOON FINAL FORM	  ;  ﻦ   ;    163	                         ;  ﻦ   ;    467	                ;  ﻦ   ;    466	                  ;  ﻦ   ;   2022	                 ;  ﻦ   ;    454	                  ;  ﻦ   ;    398	               ;  ﻦ   ;    585	                    ;  ﻦ   ;    616	                     ;  ﻦ   ;    396	               ;  ﻦ   ;    220	     ;  ﻦ   ;    726	                   ;  ﻦ   ;    809	                  ;  ﻦ   ;    316	                 ;  ﻦ   ;     43	                  ;  ﻦ   ;     18	        ;  ﻦ   ;     47	            ;  ﻦ   ;    446	           ;  ﻦ   ;   1804	                         ;  ﻦ   ;    367	          ;  ﻦ   ;    616	                ;  ﻦ   ;    168	                  ;  ﻦ   ;     89	             ;  ﻦ   ;    515
    ﻧ   ;  \ufee7 ;  18757 ;               ARABIC LETTER NOON INITIAL FORM	  ;  ﻧ   ;    109	                         ;  ﻧ   ;    489	                ;  ﻧ   ;    437	                  ;  ﻧ   ;   1566	                 ;  ﻧ   ;    380	                  ;  ﻧ   ;    436	               ;  ﻧ   ;    351	                    ;  ﻧ   ;    358	                     ;  ﻧ   ;    320	               ;  ﻧ   ;    318	     ;  ﻧ   ;    606	                   ;  ﻧ   ;    599	                  ;  ﻧ   ;   1179	                 ;  ﻧ   ;    161	                  ;  ﻧ   ;     79	        ;  ﻧ   ;    181	            ;  ﻧ   ;    743	           ;  ﻧ   ;   3816	                         ;  ﻧ   ;    679	          ;  ﻧ   ;   1681	                ;  ﻧ   ;    531	                  ;  ﻧ   ;    715	             ;  ﻧ   ;   3023
    ﻬ   ;  \ufeec ;  12513 ;                 ARABIC LETTER HEH MEDIAL FORM	  ;  ﻬ   ;     79	                         ;  ﻬ   ;    384	                ;  ﻬ   ;    767	                  ;  ﻬ   ;   1528	                 ;  ﻬ   ;    403	                  ;  ﻬ   ;    348	               ;  ﻬ   ;    264	                    ;  ﻬ   ;    340	                     ;  ﻬ   ;    215	               ;  ﻬ   ;    307	     ;  ﻬ   ;    567	                   ;  ﻬ   ;    604	                  ;  ﻬ   ;    188	                 ;  ﻬ   ;     37	                  ;  ﻬ   ;     10	        ;  ﻬ   ;     46	            ;  ﻬ   ;    166	           ;  ﻬ   ;   1028	                         ;  ﻬ   ;    176	          ;  ﻬ   ;    372	                ;  ﻬ   ;    176	                  ;  ﻬ   ;    905	             ;  ﻬ   ;   3603
    ﯿ   ;  \ufbff ;  16288 ;           ARABIC LETTER FARSI YEH MEDIAL FORM	  ;  ﯿ   ;     14	                         ;  ﯿ   ;    109	                ;  ﯿ   ;     28	                  ;  ﯿ   ;   1442	                 ;  ﯿ   ;     14	                  ;  ﯿ   ;    102	               ;  ﯿ   ;      8	                    ;  ﯿ   ;      0	                     ;  ﯿ   ;     69	               ;  ﯿ   ;      0	     ;  ﯿ   ;    328	                   ;  ﯿ   ;    313	                  ;  ﯿ   ;    710	                 ;  ﯿ   ;     49	                  ;  ﯿ   ;     57	        ;  ﯿ   ;    265	            ;  ﯿ   ;    558	           ;  ﯿ   ;   3943	                         ;  ﯿ   ;    962	          ;  ﯿ   ;   1198	                ;  ﯿ   ;    376	                  ;  ﯿ   ;   1006	             ;  ﯿ   ;   4737
    ﮟ   ;  \ufb9f ;   2276 ;          ARABIC LETTER NOON GHUNNA FINAL FORM	  ;  ﮟ   ;      0	                         ;  ﮟ   ;      0	                ;  ﮟ   ;      0	                  ;  ﮟ   ;      0	                 ;  ﮟ   ;      0	                  ;  ﮟ   ;      0	               ;  ﮟ   ;      0	                    ;  ﮟ   ;      1	                     ;  ﮟ   ;      0	               ;  ﮟ   ;      0	     ;  ﮟ   ;      0	                   ;  ﮟ   ;      0	                  ;  ﮟ   ;      0	                 ;  ﮟ   ;      0	                  ;  ﮟ   ;      0	        ;  ﮟ   ;      0	            ;  ﮟ   ;      0	           ;  ﮟ   ;      0	                         ;  ﮟ   ;      0	          ;  ﮟ   ;      0	                ;  ﮟ   ;      0	                  ;  ﮟ   ;    389	             ;  ﮟ   ;   1886
